ciudades,nombre_de_la_ciudad,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,23,0.7259,0:01:53,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,16,0.8043,0:03:00,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
0x9662c5410425af2f:0x8475d53c400f0931,Santiago,0,0.0,,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
Total,,3178,295.7803,0:05:35,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
0xd51affe3b68fe15:0xe43ec55994864649,San Sebastián,18,0.6004,0:02:00,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
Total,,3184,233.7504,0:04:24,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
0x9105c5f619ee3ec7:0x14206cb9cc452e4a,Lima,167,11.9593,0:04:17,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
0x8e3f9bfd2da6cb29:0x239d635520a33914,Bogotá,74,8.1491,0:06:36,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
0x85ce0026db097507:0x54061076265ee841,Ciudad de México,42,2.6275,0:03:45,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
0x91424a487785b9b3:0xa3c4a612b9942036,Arequipa,0,0.0,,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
Total,,929,3.1681,0:00:12,20211201,Si lo QUIERES lo APRENDES 😉 ▶ Logo TUTORIALES en CorelDRAW
